Protein_1,Protein_2,pTM,ipTM,Ranking_confidence
B4GAT1,TMEM5,0.65,0.2,0.29000000000000004
FKTN,TMEM5,0.7,0.79,0.7720000000000001
FKRP,TMEM5,0.68,0.33,0.4
LARGE,TMEM5,0.7,0.23,0.324
